origin_center_point,abstracted_center_point
"if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        int32_t voiceMailCount;
        int32_t result = CoreServiceClient::GetInstance().GetVoiceMailCount(SimTest::slotId_, voiceMailCount);
        EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
    }","if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { int32_t voiceMailCount; int32_t result = CoreServiceClient::GetInstance().GetVoiceMailCount(SimTest::<VAR>, voiceMailCount); EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS); }"
"HWTEST_F(SimTest, Telephony_Sim_GetVoiceMailCount_0300, Function | MediumTest | Level1)
{
    if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        int32_t voiceMailCount;
        int32_t result = CoreServiceClient::GetInstance().GetVoiceMailCount(SimTest::slotId_, voiceMailCount);
        EXPECT_NE(result, TELEPHONY_ERR_SUCCESS);
    }
}","HWTEST_F(SimTest, <TYPE>, Function | MediumTest | <TYPE>) { if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { <TYPE> <VAR>; int32_t result = CoreServiceClient::GetInstance().GetVoiceMailCount(SimTest::slotId_, <VAR>); EXPECT_NE(result, TELEPHONY_ERR_SUCCESS); } }"
"HWTEST_F(SimTest, Telephony_Sim_SetVoiceMailCount_0100, Function | MediumTest | Level1)
{
    AccessToken token;
    if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        int32_t voiceMailCount = 0;
        int32_t result = CoreServiceClient::GetInstance().SetVoiceMailCount(SimTest::slotId_, voiceMailCount);
        EXPECT_GT(result, -1);
    }
}","HWTEST_F(SimTest, <TYPE>, Function | MediumTest | Level1) { AccessToken token; if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { int32_t voiceMailCount = 0; int32_t result = CoreServiceClient::GetInstance().SetVoiceMailCount(SimTest::<VAR>, voiceMailCount); EXPECT_GT(result, -1); } }"
"if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        int32_t voiceMailCount = 0;
        int32_t result = CoreServiceClient::GetInstance().SetVoiceMailCount(SimTest::slotId_, voiceMailCount);
        EXPECT_GT(result, -1);
    }","if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { int32_t voiceMailCount = 0; int32_t result = CoreServiceClient::GetInstance().SetVoiceMailCount(SimTest::<VAR>, voiceMailCount); EXPECT_GT(result, -1); }"
"HWTEST_F(SimTest, Telephony_Sim_SetVoiceCallForwarding_0200, Function | MediumTest | Level1)
{
    AccessToken token;
    if (!SimTest::HasSimCard(slotId1_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        std::string number = ""01234567890123456789"";
        int32_t result = CoreServiceClient::GetInstance().SetVoiceCallForwarding(SimTest::slotId_, true, number);
        EXPECT_GT(result, -1);
    }
}","HWTEST_F(SimTest, <TYPE>, Function | MediumTest | Level1) { AccessToken token; if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { std::string number = ""01234567890123456789""; int32_t result = CoreServiceClient::GetInstance().SetVoiceCallForwarding(SimTest::slotId_, true, number); EXPECT_GT(result, -1); } }"
"if (!SimTest::HasSimCard(slotId1_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        std::string number = ""01234567890123456789"";
        int32_t result = CoreServiceClient::GetInstance().SetVoiceCallForwarding(SimTest::slotId_, true, number);
        EXPECT_GT(result, -1);
    }","if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { std::string number = ""01234567890123456789""; int32_t result = CoreServiceClient::GetInstance().SetVoiceCallForwarding(SimTest::slotId_, true, number); EXPECT_GT(result, -1); }"
"if (!SimTest::HasSimCard(slotId1_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        IccAccountInfo info;
        int32_t result = CoreServiceClient::GetInstance().GetSimAccountInfo(SimTest::slotId1_, info);
        EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
    }","if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { <TYPE> <VAR>; int32_t result = CoreServiceClient::GetInstance().GetSimAccountInfo(SimTest::<VAR>, <VAR>); EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS); }"
"HWTEST_F(SimTest, Telephony_Sim_SetLockState_0300, Function | MediumTest | Level3)
{
    if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        CoreServiceTestHelper helper;
        if (!helper.Run(SetLockStateTestFunc, std::ref(helper))) {
            TELEPHONY_LOGI(""Interface out of time"");
            EXPECT_TRUE(true);
        } else {
            bool result = helper.GetBoolResult();
            EXPECT_FALSE(result);
        }
    }
}","HWTEST_F(SimTest, <TYPE>, Function | MediumTest | Level3) { if (!SimTest::HasSimCard(slotId_)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { CoreServiceTestHelper helper; if (!helper.Run(<TYPE>, std::ref(helper))) { TELEPHONY_LOGI(""Interface out of time""); EXPECT_TRUE(true); } else { <TYPE> result = helper.GetBoolResult(); EXPECT_FALSE(result); } } }"
"if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        CoreServiceTestHelper helper;
        if (!helper.Run(SetLockStateTestFunc, std::ref(helper))) {
            TELEPHONY_LOGI(""Interface out of time"");
            EXPECT_TRUE(true);
        } else {
            bool result = helper.GetBoolResult();
            EXPECT_FALSE(result);
        }
    }","if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { CoreServiceTestHelper helper; if (!helper.Run(<TYPE>, std::ref(helper))) { TELEPHONY_LOGI(""Interface out of time""); EXPECT_TRUE(true); } else { <TYPE> result = helper.GetBoolResult(); EXPECT_FALSE(result); } }"
"if (!helper.Run(SetLockStateTestFunc, std::ref(helper))) {
            TELEPHONY_LOGI(""Interface out of time"");
            EXPECT_TRUE(true);
        } else {
            bool result = helper.GetBoolResult();
            EXPECT_FALSE(result);
        }","if (!helper.Run(<TYPE>, std::ref(helper))) { TELEPHONY_LOGI(""Interface out of time""); EXPECT_TRUE(true); } else { bool result = helper.GetBoolResult(); EXPECT_FALSE(result); }"
"HWTEST_F(SimTest, Telephony_Sim_SetFDNState_0100, Function | MediumTest | Level2)
{
    AccessToken token;
    if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        CoreServiceTestHelper helper;
        if (!helper.Run(SetFDNStateTestFunc, std::ref(helper))) {
            TELEPHONY_LOGI(""Interface out of time"");
            EXPECT_TRUE(true);
        } else {
            int32_t result = helper.GetIntResult();
            EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
        }
    }
}","HWTEST_F(SimTest, <TYPE>, Function | MediumTest | <TYPE>) { AccessToken token; if (!SimTest::HasSimCard(slotId_)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { CoreServiceTestHelper helper; if (!helper.Run(<TYPE>, std::ref(helper))) { TELEPHONY_LOGI(""Interface out of time""); EXPECT_TRUE(true); } else { <TYPE> result = helper.GetIntResult(); EXPECT_EQ(result, <TYPE>); } } }"
"if (!helper.Run(SetFDNStateTestFunc, std::ref(helper))) {
            TELEPHONY_LOGI(""Interface out of time"");
            EXPECT_TRUE(true);
        } else {
            int32_t result = helper.GetIntResult();
            EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
        }","if (!helper.Run(<TYPE>, std::ref(helper))) { TELEPHONY_LOGI(""Interface out of time""); EXPECT_TRUE(true); } else { int32_t result = helper.GetIntResult(); EXPECT_EQ(result, <TYPE>); }"
"HWTEST_F(SimTest, Telephony_Sim_SetFDNState_0200, Function | MediumTest | Level2)
{
    if (!SimTest::HasSimCard(slotId1_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        CoreServiceTestHelper helper;
        if (!helper.Run(SetFDNStateTestFunc1, std::ref(helper))) {
            TELEPHONY_LOGI(""Interface out of time"");
            EXPECT_TRUE(true);
        } else {
            int32_t result = helper.GetIntResult();
            EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
        }
    }
}","HWTEST_F(SimTest, <TYPE>, Function | MediumTest | <TYPE>) { if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { CoreServiceTestHelper helper; if (!helper.Run(<TYPE>, std::ref(helper))) { TELEPHONY_LOGI(""Interface out of time""); EXPECT_TRUE(true); } else { <TYPE> result = helper.GetIntResult(); EXPECT_EQ(result, <TYPE>); } } }"
"if (!helper.Run(SetFDNStateTestFunc1, std::ref(helper))) {
            TELEPHONY_LOGI(""Interface out of time"");
            EXPECT_TRUE(true);
        } else {
            int32_t result = helper.GetIntResult();
            EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
        }","if (!helper.Run(<TYPE>, std::ref(helper))) { TELEPHONY_LOGI(""Interface out of time""); EXPECT_TRUE(true); } else { int32_t result = helper.GetIntResult(); EXPECT_EQ(result, <TYPE>); }"
"HWTEST_F(SimTest, Telephony_Sim_GetLockState_0100, Function | MediumTest | Level3)
{
    AccessToken token;
    if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        CoreServiceTestHelper helper;
        if (!helper.Run(GetLockStateTestFunc, std::ref(helper))) {
            TELEPHONY_LOGI(""Interface out of time"");
            EXPECT_TRUE(true);
        } else {
            int32_t result = helper.GetIntResult();
            EXPECT_GT(result, -1);
        }
    }
}","HWTEST_F(SimTest, <TYPE>, Function | MediumTest | <TYPE>) { AccessToken token; if (!SimTest::HasSimCard(slotId_)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { CoreServiceTestHelper helper; if (!helper.Run(<TYPE>, std::ref(helper))) { TELEPHONY_LOGI(""Interface out of time""); EXPECT_TRUE(true); } else { int32_t result = helper.GetIntResult(); EXPECT_GT(result, -<CONST>); } } }"
"if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        bool isCTSimCard = false;
        int32_t result = CoreServiceClient::GetInstance().IsCTSimCard(SimTest::slotId_, isCTSimCard);
        EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
    }","if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { bool isCTSimCard = false; int32_t result = CoreServiceClient::GetInstance().IsCTSimCard(SimTest::<VAR>, isCTSimCard); EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS); }"
"void SimTest::SetLockStateTestFunc(CoreServiceTestHelper &helper)
{
    LockInfo testInfo;
    testInfo.lockType = LockType::PIN_LOCK;
    testInfo.password = Str8ToStr16(""1234"");
    testInfo.lockState = LockState::LOCK_OFF;
    LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR };
    int32_t result = CoreServiceClient::GetInstance().SetLockState(SimTest::slotId_, testInfo, response);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::SetLockStateTestFunc(CoreServiceTestHelper &helper) { LockInfo testInfo; testInfo.lockType = LockType::<TYPE>; testInfo.password = Str8ToStr16(""1234""); testInfo.lockState = LockState::LOCK_OFF; LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR }; int32_t result = CoreServiceClient::GetInstance().SetLockState(SimTest::slotId_, testInfo, response); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::SetLockStateTestFunc1(CoreServiceTestHelper &helper)
{
    AccessToken token;
    LockInfo testInfo;
    testInfo.lockType = LockType::PIN_LOCK;
    testInfo.password = Str8ToStr16(""1234"");
    testInfo.lockState = LockState::LOCK_OFF;
    LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR };
    int32_t result = CoreServiceClient::GetInstance().SetLockState(SimTest::slotId1_, testInfo, response);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::SetLockStateTestFunc1(CoreServiceTestHelper &helper) { AccessToken token; LockInfo testInfo; testInfo.lockType = LockType::<TYPE>; testInfo.password = Str8ToStr16(""1234""); testInfo.lockState = LockState::LOCK_OFF; LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR }; int32_t result = CoreServiceClient::GetInstance().SetLockState(SimTest::slotId1_, testInfo, response); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::GetLockStateTestFunc(CoreServiceTestHelper &helper)
{
    LockState lockState = LockState::LOCK_ERROR;
    LockType lockType = LockType::PIN_LOCK;
    int32_t result = CoreServiceClient::GetInstance().GetLockState(SimTest::slotId_, lockType, lockState);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::GetLockStateTestFunc(CoreServiceTestHelper &helper) { LockState lockState = LockState::LOCK_ERROR; LockType lockType = LockType::<TYPE>; int32_t result = CoreServiceClient::GetInstance().GetLockState(SimTest::slotId_, lockType, lockState); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::UnlockPinTestFunc(CoreServiceTestHelper &helper)
{
    const std::u16string pin = Str8ToStr16(""1234"");
    LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR };
    int32_t result = CoreServiceClient::GetInstance().UnlockPin(SimTest::slotId_, pin, response);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::UnlockPinTestFunc(CoreServiceTestHelper &helper) { const std::u16string <VAR> = Str8ToStr16(<STR>); LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR }; int32_t result = CoreServiceClient::GetInstance().UnlockPin(SimTest::slotId_, <VAR>, response); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::UnlockPukTestFunc(CoreServiceTestHelper &helper)
{
    const std::u16string pin = Str8ToStr16(""1234"");
    const std::u16string puk = Str8ToStr16(""42014264"");
    LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR };
    int32_t result = CoreServiceClient::GetInstance().UnlockPuk(SimTest::slotId_, pin, puk, response);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::UnlockPukTestFunc(CoreServiceTestHelper &helper) { const std::u16string <VAR> = Str8ToStr16(<STR>); const std::u16string <VAR> = Str8ToStr16(<STR>); LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR }; int32_t result = CoreServiceClient::GetInstance().UnlockPuk(SimTest::slotId_, <VAR>, <VAR>, response); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::UnlockPukTestFunc1(CoreServiceTestHelper &helper)
{
    AccessToken token;
    const std::u16string pin = Str8ToStr16(""1234"");
    const std::u16string puk = Str8ToStr16(""42014264"");
    LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR };
    int32_t result = CoreServiceClient::GetInstance().UnlockPuk(SimTest::slotId1_, pin, puk, response);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::UnlockPukTestFunc1(CoreServiceTestHelper &helper) { AccessToken token; const std::u16string <VAR> = Str8ToStr16(""1234""); const std::u16string <VAR> = Str8ToStr16(<STR>); LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR }; int32_t result = CoreServiceClient::GetInstance().UnlockPuk(SimTest::slotId1_, <VAR>, <VAR>, response); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::UnlockPuk2TestFunc1(CoreServiceTestHelper &helper)
{
    AccessToken token;
    const std::u16string pin2 = Str8ToStr16(""12345678"");
    const std::u16string puk2 = Str8ToStr16(""42014264"");
    LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR };
    int32_t result = CoreServiceClient::GetInstance().UnlockPuk2(SimTest::slotId1_, pin2, puk2, response);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::UnlockPuk2TestFunc1(CoreServiceTestHelper &helper) { AccessToken token; const std::u16string <VAR> = Str8ToStr16(""12345678""); const std::u16string <VAR> = Str8ToStr16(""42014264""); LockStatusResponse response = { UNLOCK_FAIL, TELEPHONY_ERROR }; int32_t result = CoreServiceClient::GetInstance().UnlockPuk2(SimTest::slotId1_, <VAR>, <VAR>, response); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::SetActiveSimTestFunc1(CoreServiceTestHelper &helper)
{
    AccessToken token;
    int enable = 1;
    int32_t result = CoreServiceClient::GetInstance().SetActiveSim(SimTest::slotId1_, enable);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::SetActiveSimTestFunc1(CoreServiceTestHelper &helper) { AccessToken token; int enable = 1; int32_t result = CoreServiceClient::GetInstance().SetActiveSim(SimTest::<VAR>, enable); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::HasOperatorPrivileges(CoreServiceTestHelper &helper)
{
    constexpr int32_t slotId = 0;
    bool hasOperatorPrivileges = false;
    int32_t result = CoreServiceClient::GetInstance().HasOperatorPrivileges(slotId, hasOperatorPrivileges);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::HasOperatorPrivileges(CoreServiceTestHelper &helper) { constexpr int32_t slotId = <CONST>; bool hasOperatorPrivileges = false; int32_t result = CoreServiceClient::GetInstance().HasOperatorPrivileges(slotId, hasOperatorPrivileges); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::SimAuthenticationTestFunc(CoreServiceTestHelper &helper)
{
    SimAuthenticationResponse response = { 0 };
    AuthType authType = AuthType::SIM_AUTH_EAP_SIM_TYPE;
    std::string authData = ""1234"";
    int32_t result = CoreServiceClient::GetInstance().SimAuthentication(SimTest::slotId_, authType, authData, response);
    helper.SetBoolResult(result == 0);
    helper.NotifyAll();
}","void SimTest::SimAuthenticationTestFunc(CoreServiceTestHelper &helper) { SimAuthenticationResponse response = { 0 }; AuthType authType = AuthType::<TYPE>; std::string authData = ""1234""; int32_t result = CoreServiceClient::GetInstance().SimAuthentication(SimTest::slotId_, authType, authData, response); helper.SetBoolResult(result == 0); helper.NotifyAll(); }"
"void SimTest::SendTerminalResponseCmdTestFunc(CoreServiceTestHelper &helper)
{
    int32_t slotId = 0;
    std::string cmd = ""send terminal response"";
    int32_t result = CoreServiceClient::GetInstance().SendTerminalResponseCmd(slotId, cmd);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::SendTerminalResponseCmdTestFunc(CoreServiceTestHelper &helper) { int32_t slotId = 0; std::string cmd = <STR>; int32_t result = CoreServiceClient::GetInstance().SendTerminalResponseCmd(slotId, cmd); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::SendTerminalResponseCmdTestFunc1(CoreServiceTestHelper &helper)
{
    AccessToken token;
    int32_t slotId = 1;
    std::string cmd = ""send terminal response"";
    int32_t result = CoreServiceClient::GetInstance().SendTerminalResponseCmd(slotId, cmd);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::SendTerminalResponseCmdTestFunc1(CoreServiceTestHelper &helper) { AccessToken token; int32_t slotId = 1; std::string cmd = <STR>; int32_t result = CoreServiceClient::GetInstance().SendTerminalResponseCmd(slotId, cmd); helper.SetIntResult(result); helper.NotifyAll(); }"
"void SimTest::SetVoiceMailInfoTestFunc(CoreServiceTestHelper &helper)
{
    const std::u16string mailName = Str8ToStr16(""张三"");
    const std::u16string mailnumber = Str8ToStr16(""13123456789"");
    int32_t result = CoreServiceClient::GetInstance().SetVoiceMailInfo(SimTest::slotId_, mailName, mailnumber);
    helper.SetIntResult(result);
    helper.NotifyAll();
}","void SimTest::SetVoiceMailInfoTestFunc(CoreServiceTestHelper &helper) { const std::u16string mailName = Str8ToStr16(""张三""); const std::u16string mailnumber = Str8ToStr16(""13123456789""); int32_t result = CoreServiceClient::GetInstance().SetVoiceMailInfo(SimTest::<VAR>, mailName, mailnumber); helper.SetIntResult(result); helper.NotifyAll(); }"
"HWTEST_F(SimRilBranchTest, Telephony_SimAccountManager_002, Function | MediumTest | Level1)
{
    auto telRilManager = std::make_shared<TelRilManager>();
    auto simStateManager = std::make_shared<SimStateManager>(telRilManager);
    EventFwk::MatchingSkills matchingSkills;
    matchingSkills.AddEvent(CommonEventSupport::COMMON_EVENT_OPERATOR_CONFIG_CHANGED);
    EventFwk::CommonEventSubscribeInfo subcribeInfo(matchingSkills);
    auto simFileManager = std::make_shared<SimFileManager>(subcribeInfo, telRilManager, simStateManager);
    auto simAccountManager = std::make_shared<SimAccountManager>(telRilManager, simStateManager, simFileManager);
    simAccountManager->Init(0);
    simAccountManager->UpdateImsCapFromChip(0, {0, 0, 0, 0});
    EXPECT_NE(simAccountManager->operatorConfigCache_, nullptr);
}","HWTEST_F(SimRilBranchTest, <TYPE>, Function | MediumTest | Level1) { auto telRilManager = std::make_shared<TelRilManager>(); auto simStateManager = std::make_shared<SimStateManager>(telRilManager); EventFwk::MatchingSkills matchingSkills; matchingSkills.AddEvent(CommonEventSupport::COMMON_EVENT_OPERATOR_CONFIG_CHANGED); EventFwk::CommonEventSubscribeInfo subcribeInfo(matchingSkills); auto simFileManager = std::make_shared<SimFileManager>(subcribeInfo, telRilManager, simStateManager); auto simAccountManager = std::make_shared<SimAccountManager>(telRilManager, simStateManager, simFileManager); simAccountManager->Init(0); simAccountManager->UpdateImsCapFromChip(0, {0, 0, 0, 0}); EXPECT_NE(simAccountManager->operatorConfigCache_, nullptr); }"
"HWTEST_F(CoreServiceBranchTest, Telephony_OperatorNameCMCC_001, Function | MediumTest | Level1)
{
    EventFwk::MatchingSkills matchingSkills;
    matchingSkills.AddEvent(CommonEventSupport::COMMON_EVENT_OPERATOR_CONFIG_CHANGED);
    EventFwk::CommonEventSubscribeInfo subscriberInfo(matchingSkills);
    auto telRilManager = std::make_shared<TelRilManager>();
    auto simManager = std::make_shared<SimManager>(telRilManager);
    auto networkSearchManager = std::make_shared<NetworkSearchManager>(telRilManager, simManager);
    auto networkSearchState = std::make_shared<NetworkSearchState>(networkSearchManager, INVALID_SLOTID);
    auto operatorName = std::make_shared<OperatorName>(
        subscriberInfo, networkSearchState, simManager, networkSearchManager, INVALID_SLOTID);
    std::string simPlmn = ""46000"";
    std::string netPlmn = ""46031"";
    EXPECT_TRUE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
    simPlmn = ""46001"";
    netPlmn = ""46031"";
    EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
    simPlmn = ""46003"";
    netPlmn = ""46031"";
    EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
    simPlmn = ""46015"";
    netPlmn = ""46031"";
    EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
    simPlmn = ""46018"";
    netPlmn = ""46031"";
    EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
    simPlmn = ""46000"";
    netPlmn = ""46050"";
    EXPECT_TRUE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
    simPlmn = ""46001"";
    netPlmn = ""46050"";
    EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
    simPlmn = ""46003"";
    netPlmn = ""46050"";
    EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
    simPlmn = ""46015"";
    netPlmn = ""46050"";
    EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
    simPlmn = ""46018"";
    netPlmn = ""46050"";
    EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn));
}","HWTEST_F(CoreServiceBranchTest, <TYPE>, Function | MediumTest | Level1) { EventFwk::MatchingSkills matchingSkills; matchingSkills.AddEvent(CommonEventSupport::COMMON_EVENT_OPERATOR_CONFIG_CHANGED); EventFwk::CommonEventSubscribeInfo subscriberInfo(matchingSkills); auto telRilManager = std::make_shared<TelRilManager>(); auto simManager = std::make_shared<SimManager>(telRilManager); auto networkSearchManager = std::make_shared<NetworkSearchManager>(telRilManager, simManager); auto networkSearchState = std::make_shared<NetworkSearchState>(networkSearchManager, INVALID_SLOTID); auto operatorName = std::make_shared<OperatorName>( subscriberInfo, networkSearchState, simManager, networkSearchManager, INVALID_SLOTID); std::string simPlmn = ""46000""; std::string netPlmn = <STR>; EXPECT_TRUE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); simPlmn = ""46001""; netPlmn = <STR>; EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); simPlmn = ""46003""; netPlmn = <STR>; EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); simPlmn = ""46015""; netPlmn = <STR>; EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); simPlmn = ""46018""; netPlmn = <STR>; EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); simPlmn = ""46000""; netPlmn = <STR>; EXPECT_TRUE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); simPlmn = ""46001""; netPlmn = <STR>; EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); simPlmn = ""46003""; netPlmn = <STR>; EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); simPlmn = ""46015""; netPlmn = <STR>; EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); simPlmn = ""46018""; netPlmn = <STR>; EXPECT_FALSE(operatorName->isDomesticRoaming(simPlmn, netPlmn)); }"
"HWTEST_F(CoreServiceCommonTest, TelephonyConfig_ConvertCharToInt_001, Function | MediumTest | Level1)
{
    TelephonyConfig telephonyConfig;
    uint32_t retValue = 0;
    std::string maxCap = ""1234567890"";
    uint32_t index = 11;
    int32_t result = telephonyConfig.ConvertCharToInt(retValue, maxCap, index);
    ASSERT_EQ(result, -1);
}","HWTEST_F(CoreServiceCommonTest, <TYPE>, Function | MediumTest | Level1) { TelephonyConfig telephonyConfig; uint32_t retValue = 0; std::string maxCap = <STR>; uint32_t index = <CONST>; int32_t result = telephonyConfig.ConvertCharToInt(retValue, maxCap, index); ASSERT_EQ(result, -<CONST>); }"
"HWTEST_F(SimTest, Telephony_Sim_GetActiveSimAccountInfoList_0100, Function | MediumTest | Level1)
{
    AccessToken token;
    if (!SimTest::HasSimCard(slotId_)) {
        TELEPHONY_LOGI(""TelephonyTestService has no sim card"");
    } else {
        std::vector<IccAccountInfo> iccAccountInfoList;
        int32_t result = CoreServiceClient::GetInstance().GetActiveSimAccountInfoList(iccAccountInfoList);
        EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
    }
}","HWTEST_F(SimTest, <TYPE>, Function | MediumTest | Level1) { AccessToken token; if (!SimTest::HasSimCard(<VAR>)) { TELEPHONY_LOGI(""TelephonyTestService has no sim card""); } else { std::vector<IccAccountInfo> iccAccountInfoList; int32_t result = CoreServiceClient::GetInstance().GetActiveSimAccountInfoList(iccAccountInfoList); EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS); } }"
